*************************
Input filename: input.txt
Output filename: output.txt
There are 3 residents in total.
coordinate	weight
( 1450, 1457 )	280
( 1873, 436 )	727
( 305, 1841 )	70
( 686, 1548 )	196
( 1874, 1981 )	869
( 856, 531 )	607
( 1369, 839 )	391
( 766, 937 )	305
( 1680, 662 )	977
( 1667, 648 )	316
( 1781, 781 )	854
( 164, 199 )	673
( 747, 63 )	230
( 435, 447 )	371
( 119, 308 )	731
( 1727, 1720 )	563
( 1422, 1276 )	565
( 1778, 1672 )	433
( 283, 141 )	727
( 1015, 373 )	87
( 1353, 805 )	301
( 15, 721 )	611
( 241, 627 )	989
( 1206, 167 )	106
( 1234, 1361 )	344
( 346, 1951 )	91
( 1165, 103 )	716
( 1173, 255 )	585
( 331, 692 )	282
( 70, 1790 )	619
( 190, 1741 )	543
( 934, 59 )	436
( 100, 845 )	724
( 1339, 646 )	980
( 613, 1513 )	494
( 698, 1059 )	493
( 307, 1233 )	768
( 303, 345 )	980
( 1196, 614 )	619
( 1868, 52 )	943
( 1902, 1811 )	828
( 300, 1324 )	626
( 605, 274 )	765
( 1582, 1283 )	530
( 689, 1999 )	695
( 862, 156 )	972
( 1796, 1128 )	165
( 1509, 1919 )	129
( 1086, 581 )	936
( 1966, 821 )	103
( 1273, 1169 )	561
( 600, 577 )	446
( 1319, 698 )	870
( 1753, 1455 )	779
( 551, 1888 )	154
( 1849, 754 )	898
( 1263, 1425 )	340
( 1070, 1836 )	229
( 1413, 1422 )	815
( 1523, 1260 )	893
( 1864, 523 )	860
( 1934, 179 )	696
( 1069, 1345 )	285
( 1875, 1477 )	893
( 350, 344 )	442
( 1147, 1875 )	223
( 296, 1504 )	476
( 819, 849 )	568
( 579, 1789 )	430
( 353, 83 )	260
( 778, 691 )	365
( 675, 1594 )	825
( 111, 1921 )	207
( 1963, 896 )	416
( 63, 1147 )	954
( 662, 1687 )	28
( 338, 1597 )	512
( 1438, 1186 )	765
( 5, 1020 )	105
( 871, 650 )	372
( 1644, 804 )	179
( 1793, 460 )	515
( 835, 1089 )	93
( 1791, 1279 )	301
( 646, 640 )	830
( 994, 1054 )	783
( 1669, 1051 )	16
( 900, 382 )	753
( 562, 261 )	80
( 467, 1140 )	884
( 944, 1479 )	529
( 1102, 835 )	58
( 188, 93 )	877
( 1229, 168 )	921
( 243, 1530 )	560
( 1248, 1030 )	340
( 833, 1799 )	785
( 284, 1254 )	900
( 764, 933 )	230
( 734, 1756 )	862
( 850, 1810 )	366
( 797, 1225 )	212
( 1025, 1969 )	24
( 91, 1837 )	39
( 1423, 1106 )	293
( 1471, 1712 )	732
( 1809, 207 )	410
( 1328, 1562 )	638
( 1366, 1805 )	343
( 989, 1630 )	752
( 396, 760 )	510
( 1861, 1179 )	822
( 1716, 1629 )	538
( 80, 1881 )	86
( 118, 1990 )	489
( 1138, 18 )	548
( 224, 722 )	158
( 1110, 1898 )	423
( 316, 333 )	264
( 297, 1501 )	149
( 1362, 1828 )	452
( 1247, 33 )	252
( 1409, 1771 )	664
( 1350, 262 )	71
( 1274, 1735 )	882
( 608, 550 )	925
( 1292, 1098 )	112
( 469, 268 )	2
( 398, 1858 )	708
( 1058, 519 )	216
( 728, 270 )	773
( 110, 690 )	487
( 758, 201 )	393
( 1340, 1118 )	520
( 1675, 833 )	956
( 1311, 574 )	920
( 1430, 1734 )	288
( 674, 1367 )	748
( 967, 1723 )	894
( 622, 1257 )	378
( 1394, 1113 )	797
( 242, 1623 )	667
( 1338, 389 )	51
( 1833, 826 )	606
( 1681, 6 )	633
( 1779, 363 )	588
( 456, 731 )	210
( 1775, 723 )	421
( 158, 681 )	367
( 667, 524 )	90
( 971, 1042 )	585
( 837, 1624 )	133
( 235, 1683 )	186
( 39, 459 )	956
( 1835, 1667 )	860
( 993, 1962 )	256
( 253, 966 )	662
( 516, 1022 )	618
( 210, 273 )	573
( 1596, 1970 )	972
( 808, 1614 )	211
( 1493, 1760 )	498
( 521, 427 )	648
( 619, 1144 )	777
( 842, 1797 )	985
( 514, 946 )	167
( 437, 597 )	542
( 114, 1870 )	51
( 1457, 1318 )	418
( 148, 976 )	962
( 1238, 1743 )	532
( 236, 913 )	140
( 1432, 535 )	924
( 1721, 795 )	949
( 139, 84 )	777
( 1460, 78 )	434
( 1600, 1521 )	608
( 288, 1101 )	774
( 954, 1918 )	322
( 1660, 1905 )	580
( 1167, 413 )	886
( 735, 625 )	274
( 1490, 37 )	723
( 1335, 1136 )	704
( 834, 1224 )	879
( 1946, 1744 )	437
( 69, 911 )	103
( 1054, 1447 )	906
( 962, 343 )	538
( 858, 35 )	617
( 574, 319 )	854
( 325, 314 )	948
( 1163, 132 )	462
( 238, 1512 )	311
( 550, 1855 )	977
( 244, 252 )	52
( 532, 1289 )	375
( 1294, 184 )	169
( 580, 1266 )	550
( 1822, 1889 )	477
( 925, 1134 )	446
( 1225, 287 )	797
( 1804, 1352 )	360
( 470, 598 )	568
( 978, 322 )	452
( 1395, 303 )	200
( 1922, 1494 )	471
( 1615, 829 )	915
( 285, 1654 )	684
( 420, 11 )	59
( 140, 784 )	354
( 1626, 1292 )	128
( 1520, 1706 )	522
( 1252, 248 )	421
( 475, 88 )	828
( 1245, 752 )	843
( 1062, 872 )	902
( 365, 1429 )	688
( 37, 1980 )	511
( 10, 636 )	934
( 73, 613 )	136
( 1947, 1546 )	118
( 186, 440 )	612
( 473, 1901 )	551
( 806, 1243 )	476
( 1355, 1032 )	781
( 1971, 1145 )	465
( 160, 1979 )	407
( 1123, 1323 )	37
( 1832, 1671 )	691
( 1816, 617 )	422
( 1141, 989 )	342
( 409, 1255 )	800
( 1327, 623 )	446
( 966, 1725 )	560
( 599, 1883 )	896
( 46, 32 )	673
( 654, 1349 )	922
( 1944, 112 )	950
( 104, 1895 )	536
( 1007, 814 )	989
( 1554, 421 )	442
( 1386, 612 )	877
( 1259, 1525 )	226
( 972, 832 )	732
( 332, 1040 )	896
( 1279, 442 )	125
( 313, 1553 )	829
( 1315, 925 )	578
( 529, 1473 )	212
( 597, 629 )	1
( 804, 435 )	606
( 92, 576 )	333
( 1572, 1273 )	943
( 1923, 1897 )	335
( 1943, 419 )	935
( 607, 187 )	714
( 1258, 1201 )	761
( 1309, 164 )	519
( 1071, 630 )	203
( 1692, 458 )	342
( 520, 1085 )	832
( 583, 1407 )	297
( 397, 948 )	406
( 499, 1465 )	33
( 177, 257 )	464
( 34, 1124 )	60
( 818, 506 )	119
( 1325, 1695 )	411
( 643, 935 )	265
( 1806, 792 )	174
( 1241, 810 )	406
( 1769, 1642 )	784
( 1082, 120 )	574
( 293, 388 )	880
( 72, 1669 )	107
( 1174, 900 )	545
( 1722, 1346 )	5
( 457, 854 )	911
( 1439, 1215 )	500
( 1852, 1914 )	146
( 1166, 278 )	510
( 52, 1668 )	116
( 970, 545 )	67
( 1858, 1003 )	797
( 21, 990 )	147
( 1013, 1971 )	674
( 1621, 1378 )	280
( 875, 1120 )	8
( 122, 25 )	629
( 289, 803 )	758
( 121, 887 )	41
( 1817, 227 )	371
( 665, 853 )	70
( 49, 62 )	731
( 1442, 879 )	625
( 1580, 811 )	843
( 817, 1338 )	709
( 1661, 418 )	449
( 197, 1882 )	433
( 54, 669 )	687
( 55, 129 )	141
( 1951, 797 )	377
( 774, 403 )	230
( 723, 1275 )	671
( 1760, 497 )	862
( 855, 1954 )	984
( 1507, 975 )	652
( 1844, 844 )	189
( 810, 1256 )	790
( 1825, 540 )	767
( 1431, 359 )	231
( 482, 1502 )	815
( 445, 1890 )	816
( 1771, 1866 )	571
( 1542, 1994 )	341
( 947, 1574 )	721
( 446, 317 )	424
( 1782, 1861 )	20
( 85, 1622 )	37
( 578, 664 )	99
( 123, 1983 )	453
( 826, 362 )	149
( 1595, 1600 )	179
( 1317, 1316 )	419
( 1602, 1058 )	874
( 263, 818 )	308
( 968, 455 )	291
( 88, 720 )	738
( 1872, 1751 )	735
( 1770, 181 )	15
( 1638, 1968 )	719
( 1686, 1989 )	168
( 1900, 1072 )	119
( 1228, 700 )	12
( 1803, 1211 )	236
( 1313, 999 )	844
( 1400, 163 )	162
( 14, 1356 )	768
( 809, 1801 )	116
( 724, 1354 )	318
( 1855, 125 )	433
( 1742, 1423 )	934
( 1142, 1835 )	809
( 1180, 964 )	982
( 1688, 1398 )	985
( 917, 475 )	838
( 1724, 364 )	815
( 1743, 1929 )	455
( 762, 536 )	290
( 1532, 741 )	813
( 530, 284 )	304
( 1962, 922 )	696
( 6, 238 )	448
( 1618, 1334 )	460
( 134, 1082 )	672
( 919, 1234 )	648
( 360, 94 )	948
( 1316, 1598 )	672
( 1904, 1716 )	783
( 1846, 1444 )	155
( 1443, 565 )	638
( 1783, 889 )	111
( 230, 1780 )	515
( 334, 1268 )	847
( 777, 1143 )	367
( 535, 1742 )	270
( 1972, 743 )	579
( 1118, 1588 )	197
( 661, 1165 )	266
( 844, 1458 )	628
( 1657, 491 )	408
( 1545, 1625 )	612
( 687, 194 )	168
( 152, 1806 )	18
( 1330, 1161 )	483
( 1003, 1130 )	789
( 93, 1604 )	349
( 330, 1373 )	165
( 1397, 1478 )	960
( 1065, 583 )	261
( 1915, 1382 )	804
( 476, 852 )	814
( 22, 1427 )	892
( 786, 1421 )	964
( 950, 1839 )	265
( 1449, 604 )	666
( 404, 401 )	856
( 395, 1449 )	351
( 1534, 1214 )	991
( 312, 29 )	21
( 206, 1536 )	451
( 894, 1195 )	765
( 1733, 998 )	748
( 1156, 433 )	287
( 1885, 1151 )	945
( 1479, 1221 )	386
( 1092, 1158 )	794
( 505, 1442 )	152
( 878, 1357 )	129
( 1982, 292 )	532
( 1917, 770 )	553
( 1635, 1618 )	430
( 1068, 130 )	291
( 845, 1064 )	712
( 11, 300 )	899
( 107, 694 )	481
( 1894, 1155 )	958
( 526, 561 )	381
( 640, 924 )	206
( 1745, 115 )	707
( 1706, 652 )	8
( 598, 61 )	561
( 1262, 992 )	369
( 1959, 986 )	149
( 537, 1364 )	136
( 706, 1902 )	766
( 432, 1826 )	592
( 407, 788 )	539
( 595, 954 )	644
( 192, 1833 )	596
( 323, 1878 )	339
( 592, 214 )	290
( 77, 1834 )	302
( 1427, 1628 )	550
( 417, 568 )	870
( 846, 725 )	200
( 504, 1229 )	233
( 865, 1965 )	991
( 920, 1992 )	460
( 645, 280 )	725
( 59, 77 )	515
( 908, 1369 )	291
( 1037, 637 )	580
( 1824, 396 )	428
( 220, 327 )	679
( 295, 1674 )	394
( 791, 1156 )	740
( 931, 180 )	168
( 180, 1490 )	386
( 1575, 1825 )	812
( 1585, 1454 )	258
( 12, 837 )	341
( 767, 1062 )	513
( 685, 1937 )	606
( 1856, 521 )	26
( 1787, 717 )	841
( 1211, 341 )	419
( 1950, 742 )	775
( 1236, 1782 )	239
( 624, 1617 )	524
( 461, 72 )	494
( 729, 1957 )	856
( 32, 898 )	253
( 495, 970 )	116
( 75, 441 )	417
( 229, 13 )	172
( 1659, 1942 )	396
( 411, 1564 )	609
( 1518, 456 )	556
( 8, 1656 )	534
( 98, 39 )	642
( 1270, 1359 )	323
( 44, 1583 )	40
( 259, 729 )	688
( 830, 1976 )	881
( 144, 1538 )	818
( 1261, 1075 )	335
( 157, 525 )	780
( 874, 1172 )	737
( 204, 309 )	473
( 1454, 656 )	892
( 1945, 166 )	99
( 915, 1274 )	522
( 825, 906 )	475
( 355, 147 )	706
( 951, 557 )	563
( 1119, 701 )	970
( 315, 1190 )	713
( 2, 888 )	687
( 218, 1903 )	871
( 1898, 1166 )	289
( 1004, 408 )	370
( 128, 1339 )	931
( 1189, 1321 )	583
( 852, 1840 )	142
( 851, 626 )	58
( 1788, 1097 )	919
( 946, 894 )	628
( 9, 977 )	39
( 602, 249 )	963
( 1543, 1366 )	561
( 1708, 1083 )	418
( 827, 1641 )	178
( 406, 1871 )	269
( 1746, 1960 )	911
( 86, 1783 )	684
( 1030, 1222 )	439
( 362, 1940 )	524
( 273, 1039 )	348
( 35, 121 )	31
( 1691, 295 )	134
( 266, 1679 )	307
( 112, 1277 )	241
( 1720, 813 )	419
( 443, 1713 )	537
( 788, 34 )	451
( 924, 283 )	71
( 1755, 1261 )	45
( 1714, 1854 )	551
( 639, 1428 )	143
( 1870, 351 )	20
( 439, 1206 )	273
( 1050, 1180 )	247
( 1967, 1505 )	334
( 1573, 1331 )	794
( 1942, 766 )	243
( 626, 957 )	601
( 1926, 787 )	702
( 1709, 479 )	367
( 1354, 213 )	508
( 986, 160 )	899
( 1104, 1986 )	173
( 932, 996 )	756
( 1570, 776 )	935
( 1031, 928 )	106
( 41, 522 )	977
( 1300, 929 )	875
( 1401, 1941 )	740
( 1895, 98 )	322
The best post office positon:( 1004, 1039 )
The total weighted distance:501942294
*************************
